"","Invoice","StockCode","Description","Quantity","InvoiceDate","Price","Customer.ID","Country","Revenue"
"1",560238,"21671","RED SPOT CERAMIC DRAWER KNOB",12,"2011-07-17",1.25,"17725","United Kingdom",15
"2",563538,"20713","JUMBO BAG OWLS",2,"2011-08-17",2.08,"17841","United Kingdom",4.16
"3",538827,"21632","VINTAGE PINK DECORATIVE PARASOL",12,"2010-12-14",3.95,"14298","United Kingdom",47.4
"4",568065,"22653","BUTTON BOX",10,"2011-09-23",1.95,"16240","United Kingdom",19.5
"5",521354,"22383","LUNCH BAG SUKI  DESIGN",20,"2010-09-03",1.65,"12361","Belgium",33
"6",561430,"10133","COLOURING PENCILS BROWN TUBE",20,"2011-07-27",0.42,"15172","United Kingdom",8.4
"7",578258,"23275","SET OF 3 HANGING OWLS OLLIE BEAK",2,"2011-11-23",1.25,"13263","United Kingdom",2.5
"8",527139,"18098C","PORCELAIN BUTTERFLY OIL BURNER",6,"2010-10-15",2.95,"13136","United Kingdom",17.7
"9",499993,"21869","POTTING SHED COFFEE MUG",6,"2010-03-03",1.25,"14157","United Kingdom",7.5
"10",565413,"21174","POTTERING IN THE SHED METAL SIGN",12,"2011-09-04",2.08,"18223","United Kingdom",24.96
"11",557626,"22708","WRAP DOLLY GIRL",25,"2011-06-21",0.42,"14175","United Kingdom",10.5
"12",559298,"POST","POSTAGE",6,"2011-07-07",18,"12471","Germany",108
"13",522135,"22158","3 HEARTS HANGING DECORATION RUSTIC",8,"2010-09-13",2.95,"16860","United Kingdom",23.6
"14",525715,"22114","HOT WATER BOTTLE TEA AND SYMPATHY",4,"2010-10-06",3.95,"16307","United Kingdom",15.8
"15",569767,"22637","PIGGY BANK RETROSPOT",6,"2011-10-06",2.55,"14849","United Kingdom",15.3
"16",536324,"21212","PACK OF 72 RETROSPOT CAKE CASES",120,"2010-11-30",0.42,"14646","Netherlands",50.4
"17",572315,"22457","NATURAL SLATE HEART CHALKBOARD",3,"2011-10-23",2.95,"14504","United Kingdom",8.85
"18",533828,"48194","DOORMAT HEARTS",2,"2010-11-19",7.95,"13317","United Kingdom",15.9
"19",546849,"20767","BLUE PAISLEY JOURNAL",1,"2011-03-17",2.55,"13623","United Kingdom",2.55
"20",543173,"22969","HOMEMADE JAM SCENTED CANDLES",12,"2011-02-04",1.45,"13871","United Kingdom",17.4
"21",563062,"21260","FIRST AID TIN",6,"2011-08-11",3.25,"17811","United Kingdom",19.5
"22",491071,"22082","RIBBON REEL STRIPES DESIGN",10,"2009-12-09",1.65,"12924","United Kingdom",16.5
"23",537769,"22158","3 HEARTS HANGING DECORATION RUSTIC",8,"2010-12-08",2.95,"15021","United Kingdom",23.6
"24",545463,"22423","REGENCY CAKESTAND 3 TIER",3,"2011-03-03",12.75,"13784","United Kingdom",38.25
"25",490071,"21537","RETRO SPOTS PUDDING BOWL",4,"2009-12-03",4.25,"16497","United Kingdom",17
"26",519216,"21929","JUMBO BAG PINK VINTAGE PAISLEY",10,"2010-08-15",1.95,"15641","United Kingdom",19.5
"27",544447,"21592","RETROSPOT CIGAR BOX MATCHES",2,"2011-02-20",1.25,"16466","United Kingdom",2.5
"28",564526,"20724","RED RETROSPOT CHARLOTTE BAG",10,"2011-08-25",0.85,"15805","United Kingdom",8.5
"29",494732,"85123A","WHITE HANGING HEART T-LIGHT HOLDER",6,"2010-01-18",2.95,"16670","United Kingdom",17.7
"30",551351,"22488","NATURAL SLATE RECTANGLE CHALKBOARD",12,"2011-04-28",1.45,"14298","United Kingdom",17.4
"31",530785,"22377","BOTTLE BAG RETROSPOT",5,"2010-11-04",2.1,"17702","United Kingdom",10.5
"32",519804,"22752","SET 7 BABUSHKA NESTING BOXES",2,"2010-08-20",8.5,"16332","United Kingdom",17
"33",525025,"20754","RETROSPOT RED WASHING UP GLOVES",2,"2010-10-03",2.1,"13838","United Kingdom",4.2
"34",576906,"85049E","SCANDINAVIAN REDS RIBBONS",24,"2011-11-17",1.25,"18225","United Kingdom",30
"35",553011,"85135B","BLUE DRAGONFLY HELICOPTER",1,"2011-05-12",7.95,"14390","United Kingdom",7.95
"36",521482,"21285","RETRO SPOT CANDLE  MEDIUM",12,"2010-09-06",2.1,"15809","United Kingdom",25.2
"37",496978,"21069","VINTAGE BILLBOARD TEA MUG",12,"2010-02-05",1.25,"15326","United Kingdom",15
"38",542717,"84520B","PACK 20 ENGLISH ROSE PAPER NAPKINS",1,"2011-01-31",0.85,"17580","United Kingdom",0.85
"39",503066,"21899","KEY FOB , GARAGE DESIGN",24,"2010-03-30",0.65,"16570","United Kingdom",15.6
"40",522991,"22594","CHRISTMAS GINGHAM TREE",12,"2010-09-19",0.85,"13709","United Kingdom",10.2
"41",568668,"21479","WHITE SKULL HOT WATER BOTTLE",2,"2011-09-28",4.25,"15750","United Kingdom",8.5
"42",527505,"22470","HEART OF WICKER LARGE",1,"2010-10-18",2.95,"17841","United Kingdom",2.95
"43",510197,"21125","SET 6 FOOTBALL CELEBRATION CANDLES",1,"2010-05-27",1.25,"17231","United Kingdom",1.25
"44",564346,"22295","HEART FILIGREE DOVE LARGE",12,"2011-08-24",1.65,"15727","United Kingdom",19.8
"45",564565,"48184","DOORMAT ENGLISH ROSE",2,"2011-08-26",7.95,"14911","EIRE",15.9
"46",525037,"84997A","GREEN 3 PIECE POLKADOT CUTLERY SET",24,"2010-10-03",3.75,"14911","EIRE",90
"47",535956,"22829","SWEETHEART WIRE WALL TIDY",1,"2010-11-29",9.95,"17756","United Kingdom",9.95
"48",497226,"21485","RED SPOT HEART HOT WATER BOTTLE",2,"2010-02-07",4.95,"13394","United Kingdom",9.9
"49",526852,"35961","FOLKART ZINC HEART CHRISTMAS DEC",12,"2010-10-13",0.85,"15134","United Kingdom",10.2
"50",546096,"22831","WHITE BROCANTE SOAP DISH",6,"2011-03-09",2.95,"15502","United Kingdom",17.7
"51",538184,"20979","36 PENCILS TUBE RED RETROSPOT",16,"2010-12-10",1.25,"17880","United Kingdom",20
"52",528640,"22114","HOT WATER BOTTLE TEA AND SYMPATHY",24,"2010-10-24",3.45,"13555","United Kingdom",82.8
"53",537484,"85064","CREAM SWEETHEART LETTER RACK",4,"2010-12-07",5.45,"14733","United Kingdom",21.8
"54",517645,"22139","RETRO SPOT TEA SET CERAMIC 11 PC",12,"2010-07-30",4.95,"14911","EIRE",59.4
"55",571446,"22979","PANTRY WASHING UP BRUSH",48,"2011-10-17",1.45,"14911","EIRE",69.6
"56",568104,"21774","DECORATIVE CATS BATHROOM BOTTLE",1,"2011-09-23",1.25,"16485","United Kingdom",1.25
"57",541615,"22564","ALPHABET STENCIL CRAFT",5,"2011-01-20",1.25,"16395","United Kingdom",6.25
"58",549546,"22666","RECIPE BOX PANTRY YELLOW DESIGN",4,"2011-04-10",2.95,"16889","United Kingdom",11.8
