"","...1","Invoice","StockCode","Description","Quantity","InvoiceDate","Price","Customer.ID","Country","Revenue","dayDifference","month","week","year","day","weekday"
"1",1,560238,"21671","RED SPOT CERAMIC DRAWER KNOB",12,2011-07-17,1.25,"17725","United Kingdom",15,5220,"Jul",29,2011,17,"Sunday"
"2",2,563538,"20713","JUMBO BAG OWLS",2,2011-08-17,2.08,"17841","United Kingdom",4.16,5189,"Aug",33,2011,17,"Wednesday"
"3",3,538827,"21632","VINTAGE PINK DECORATIVE PARASOL",12,2010-12-14,3.95,"14298","United Kingdom",47.4,5435,"Dec",50,2010,14,"Tuesday"
"4",4,568065,"22653","BUTTON BOX",10,2011-09-23,1.95,"16240","United Kingdom",19.5,5152,"Sep",38,2011,23,"Friday"
"5",5,521354,"22383","LUNCH BAG SUKI  DESIGN",20,2010-09-03,1.65,"12361","Belgium",33,5537,"Sep",36,2010,3,"Friday"
"6",6,561430,"10133","COLOURING PENCILS BROWN TUBE",20,2011-07-27,0.42,"15172","United Kingdom",8.4,5210,"Jul",30,2011,27,"Wednesday"
"7",7,578258,"23275","SET OF 3 HANGING OWLS OLLIE BEAK",2,2011-11-23,1.25,"13263","United Kingdom",2.5,5091,"Nov",47,2011,23,"Wednesday"
"8",8,527139,"18098C","PORCELAIN BUTTERFLY OIL BURNER",6,2010-10-15,2.95,"13136","United Kingdom",17.7,5495,"Oct",42,2010,15,"Friday"
"9",9,499993,"21869","POTTING SHED COFFEE MUG",6,2010-03-03,1.25,"14157","United Kingdom",7.5,5721,"Mar",9,2010,3,"Wednesday"
"10",10,565413,"21174","POTTERING IN THE SHED METAL SIGN",12,2011-09-04,2.08,"18223","United Kingdom",24.96,5171,"Sep",36,2011,4,"Sunday"
"11",11,557626,"22708","WRAP DOLLY GIRL",25,2011-06-21,0.42,"14175","United Kingdom",10.5,5246,"Jun",25,2011,21,"Tuesday"
"12",12,559298,"POST","POSTAGE",6,2011-07-07,18,"12471","Germany",108,5230,"Jul",27,2011,7,"Thursday"
"13",13,522135,"22158","3 HEARTS HANGING DECORATION RUSTIC",8,2010-09-13,2.95,"16860","United Kingdom",23.6,5527,"Sep",37,2010,13,"Monday"
"14",14,525715,"22114","HOT WATER BOTTLE TEA AND SYMPATHY",4,2010-10-06,3.95,"16307","United Kingdom",15.8,5504,"Oct",40,2010,6,"Wednesday"
"15",15,569767,"22637","PIGGY BANK RETROSPOT",6,2011-10-06,2.55,"14849","United Kingdom",15.3,5139,"Oct",40,2011,6,"Thursday"
"16",16,536324,"21212","PACK OF 72 RETROSPOT CAKE CASES",120,2010-11-30,0.42,"14646","Netherlands",50.4,5449,"Nov",48,2010,30,"Tuesday"
"17",17,572315,"22457","NATURAL SLATE HEART CHALKBOARD",3,2011-10-23,2.95,"14504","United Kingdom",8.85,5122,"Oct",43,2011,23,"Sunday"
"18",18,533828,"48194","DOORMAT HEARTS",2,2010-11-19,7.95,"13317","United Kingdom",15.9,5460,"Nov",47,2010,19,"Friday"
"19",19,546849,"20767","BLUE PAISLEY JOURNAL",1,2011-03-17,2.55,"13623","United Kingdom",2.55,5342,"Mar",11,2011,17,"Thursday"
"20",20,543173,"22969","HOMEMADE JAM SCENTED CANDLES",12,2011-02-04,1.45,"13871","United Kingdom",17.4,5383,"Feb",5,2011,4,"Friday"
